
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199903   2.33   5.14   2.01   1.73   2.65   3.60   1.53   2.45  -0.09
199904   4.60   8.58   1.38  14.21   1.39  17.89  -0.54  14.15   0.60
199905  -5.44  -4.63  -5.76  -5.37  -5.33  -6.21  -4.44  -4.46  -5.75
199906   0.42   4.24   0.21   4.19   0.04   4.99   0.00   3.34   0.24
199907   1.58   3.89   1.77   6.85   0.90   8.93   1.80   7.22   0.63
199908  -0.12   0.79  -1.35  -0.82  -0.49  -0.80  -0.97  -0.73  -0.17
199909  -2.02  -3.87  -1.97  -5.99  -1.03  -4.47  -1.70  -3.98  -0.61
199910   2.26  -5.16   5.14  -5.61   4.24  -5.23   4.38  -7.02   5.35
199911   2.29   1.41   3.90   4.16   4.24   2.24   5.66   1.63   4.40
199912   6.45   8.07   7.03   7.81   7.03   8.38   8.37   5.57   9.45
200001  -8.33 -11.97  -9.28  -9.29  -6.98  -9.29  -5.19  -9.11  -6.77
200002  -1.93  -7.89  -2.57  -2.87  -2.27  -9.06   0.66  -6.56  -1.17
200003   6.73  12.52   7.38   7.04   7.04   7.64   4.70  10.05   5.34
200004  -4.06   1.08  -3.00  -0.90  -4.66   0.30  -5.74   1.37  -4.57
200005  -3.83   0.31  -5.59   0.64  -5.05   1.29  -7.72  -0.13  -7.17
200006   1.95   6.20   2.42   8.92   1.83   8.06   0.45   7.03   3.06
200007  -0.07  -2.19  -1.70  -2.18   1.55  -2.20  -0.14  -2.06  -1.13
200008   1.90  -1.38   3.90  -2.59   2.22  -1.23   0.61  -0.42   3.67
200009  -3.14  -1.27  -4.79   0.70  -3.98   0.99  -5.66   0.24  -5.78
200010  -0.12   0.99  -1.38   0.91  -1.52   0.85  -0.17   1.38  -2.79
200011  -4.89   6.83  -7.54   3.13  -8.26   4.13 -11.94   4.71 -10.39
200012   7.04   5.88   6.33   6.14   6.51   5.65   6.54   5.15   7.65
200101  -0.63  -2.63  -4.19   1.74  -2.81   1.67  -4.47   3.74  -2.28
200102  -6.21 -11.43  -2.15  -0.57  -7.73  -1.15  -8.02  -5.04  -9.68
