
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199706   4.80   3.15   5.80   3.74   5.09   6.91   5.72   3.12   5.29
199707   4.42   7.57   3.94   5.64   3.69   3.48   2.09   5.70   3.78
199708  -5.69  -3.54  -5.69  -5.39  -6.47  -2.43  -5.96  -3.10  -6.43
199709   9.31  10.61   8.67   9.21   7.83   7.47   8.23   9.63   7.80
199710  -4.62  -2.88  -5.16  -6.12  -3.67  -3.68  -4.40  -2.05  -5.13
199711   1.64   0.67   1.98   1.28   2.50   1.23   2.61   1.74   2.32
199712   3.67   5.10   3.41   2.53   3.41   0.91   3.08   4.66   3.10
199801   4.48   5.25   5.43   2.81   5.29   4.14   4.22   4.24   6.14
199802   8.09  10.27   8.04   9.39   8.90   7.27   7.39   7.85   8.35
199803   7.12  10.19   5.05  10.08   4.56  11.55   6.78   9.94   6.43
199804   1.52   3.61   1.78   0.71   1.58   2.30   1.43   1.41   1.10
199805   2.80   2.58   2.92   0.93   3.09   3.35   3.55   2.49   3.06
199806   0.50  -2.46   1.33  -1.60   1.93   0.44   2.24  -0.35   1.57
199807   1.74   2.42   1.23  -0.66   1.77   2.75   0.48   2.73   2.25
199808 -11.98 -14.18 -10.29 -14.59  -9.28 -12.48  -9.46 -12.38 -11.02
199809  -3.18  -2.56  -2.10  -4.31  -2.16  -1.28  -1.42  -5.45  -4.00
199810   7.54   3.33   8.23   7.97   7.44   3.16   7.81   6.60   8.43
199811   5.35   5.19   4.88   5.69   4.63   3.44   3.82   4.72   5.82
199812   4.02   3.42   5.30   1.37   5.82   4.99   6.64   3.31   6.12
199901  -1.06  -3.66  -0.88  -1.59  -0.23  -4.09  -0.58  -3.82  -1.21
199902  -2.20   0.26  -3.27  -0.77  -2.80   2.57  -2.76   0.04  -3.98
199903   0.74   4.43  -1.26   2.69  -0.68   3.15  -2.10   5.46  -1.84
199904   3.20   7.32   0.27   9.15   1.12  11.03  -0.50   8.99   0.57
199905  -4.46  -4.68  -4.33  -4.45  -4.05  -4.50  -2.48  -4.44  -4.57
199906   1.03   4.22   0.29   2.47   0.64   3.83   0.70   2.83   0.44
199907   1.09   4.64   0.48   3.89   0.29   7.18   0.79   5.77  -0.17
199908   1.30   1.43   1.34  -0.45   1.79  -0.33   1.45  -0.16   1.34
199909  -0.98  -1.07   0.13  -2.60  -0.09  -1.49  -0.40  -1.46   0.05
199910   2.45  -1.59   3.12  -0.94   3.71  -2.21   1.90  -2.22   3.53
199911   2.35  -2.05   3.34  -1.31   4.58  -0.80   4.98  -1.84   2.82
199912  10.29   9.88  10.00   7.87  11.40   9.00  11.61   7.31  11.23
200001  -7.63 -10.29  -6.92  -9.02  -6.36  -7.82  -4.90 -10.55  -5.20
200002   4.69  -3.43   6.97   1.04   6.93  -2.12   9.98  -1.31   7.75
200003   2.41   7.28   1.55   3.23   1.73   4.79  -1.33   4.69  -0.18
200004  -4.82  -0.70  -5.59  -2.85  -5.56  -3.34  -6.42  -2.21  -5.94
200005  -0.65   2.39  -2.37   2.48  -1.92   2.01  -2.66   1.87  -3.50
200006   2.90   4.87   2.56   4.57   2.99   3.50   1.65   5.17   2.97
200007  -0.98   0.04  -2.44   0.14  -1.00  -0.06  -2.17  -0.93  -2.15
200008  -0.61  -1.92  -0.48  -2.48  -0.95  -2.63  -0.55  -0.08  -0.69
200009  -4.11  -2.17  -4.99  -2.59  -4.76  -1.22  -6.12  -2.51  -5.61
200010  -0.93   0.02  -1.71   0.46  -1.89  -0.01  -2.17   1.68  -2.45
200011  -3.41   4.31  -5.36   1.35  -6.22   3.88  -7.98   3.06  -7.87
200012   7.27   7.64   6.08   8.18   6.35   7.64   5.56   9.01   6.12
200101   0.62   4.17  -0.59   3.72  -1.41   4.02  -1.25   5.46  -1.30
200102  -7.54  -6.10  -7.11  -3.64  -8.54  -1.95  -8.87  -4.51  -9.02
200103  -7.57  -7.90  -8.92  -5.56  -8.41  -7.82  -8.57  -6.84  -9.91
200104   6.34   6.43   7.72   5.62   6.58   6.06   7.40   5.93   6.44
